"Готовя что-либо на пару (например, котлеты), подсолите воду. ",От этого поднимется температура кипения и еда приготовится в полтора раза быстрее.
"Противни после готовки нужно не мыть, а протирать пергаментной бумагой или чистить солью.",Тогда пригоревшие остатки еды будут лучше слезать. Чтобы они не ржавели - смажьте их потом жиром.
"Перед тем, как пользоваться мясорубкой, обязательно каждый раз обдайте ее кипятком.","Таким образом вы гарантированно убьете любых паразитов, которые могут оставаться после последней готовки."
"Если перед тем, как мыть после мяса мясорубку или терку после сыра, пропустить через нее сырой картофель или кусок черствого хлеба.","Картофель и хлеб обладают ""собирательными"" свойствами и позволят быстрее собрать остатки мяса или сыра."
"Терка снова будет острой, если вы протрете ее наждачной бумагой.",Старайтесь использовать более мелкую наждачку для достижения наилучшего эффекта.
"При готовке всегда следуйте правилу открывать крышки кастрюль, начиная с противоположной от себя стороны",Так вы гарантированно не ошпаритесь.
"Зеленый салат можно освежить, подержав его несколько минут в теплой воде.",Только не переборщите со слишком теплой водой.
"Если перед жаркой рыбы подержать ее в молоке, обвалять в муке и положить жарить в растительном масле, то вы получите очень вкусное блюдо.",Рыба станет более нежной и мягкой.
"При приготовлении мучных изделий с изюмом, прежде чем положить изюм в тесто, припудрите его мукой.",После этого он не будет опускаться на дно.
"Всю стеклянную посуду - стаканы, вазы - можно отмыть без специальных средств. ",Для этого в теплую воду нужно добавить немного уксуса.
Потемневшие эмалированные кастрюли надо прокипятить с любым составом для мытья посуды.,Не забудьте после этого промыть их простой горячей водой.
"Если что-то подгорело в кастрюле, можно налить на дно холодной воды и насыпать соли. ","Через несколько часов подогреть, а затем можно будет легко удалить остатки пищи."
"Сковороды можно чистить легко так: слегка подогреть их и протереть солью, а затем пергаментом.","Если нет пергамента, можно воспользоваться обычной бумагой."
"Чтобы формочка с водой для льда не примерзла в морозилке холодильника, нужно предварительно натереть ее свечой.",Мажьте воском только снизу.
"Крупу и крахмал лучше хранить в банках с притертой крышкой - жестяных, стеклянных или фаянсовых.","В таких банках крышка будет легко открываться, а крупа храниться дольше."
"Чтобы ножи, ножницы и др. было легче заточить, можно поместить их в слабый соленый раствор на полчаса.","После этого их можно эффективно точить, не вытирая."
Не стоит сушить мясорубку возле источника тепла.,От чрезмерного тепла тупятся ножи.
"Не варите каши в эмалированной посуде, так как каши в ней пригорают.",Лучше варить каши в стальных кастрюлях.
"Жирные пятна на плите нужно посыпать солью, а затем уже оттирать.",Так вы потратите гораздо меньше усилий на чистку.
"В кухне неприятно пахнет. Налейте на сковороду немного столового уксуса и держите на огне, пока он не испарится.",Уксус эффективно обезвредит любые запахи.
"Чтобы руки не пахли луком, протрите их резаной зеленью петрушки. Чтобы руки не пахли чесноком, протрите их резаной зеленью сельдерея.","Поэтому соблюдайте верный порядок нарезки лука, чеснока и зелени."
"Снять налет от чая и кофе можно, протерев чашку столовым уксусом.",Вместо уксуса можно использовать крепкий раствор поваренной соли.
"При добавке нескольких капель нашатырного спирта к воде, предназначенной для мытья рук, с них удаляются неприятные запахи.","Главное, не переборщите с количеством нашатыря."
