Когда начинаете завязывать романтические отношения с девушкой или парнем – не придумывайте себе образ.,"Ведите себя так, как ведёте всегда. Поддерживать несвойственное вам поведение долго вы не сможете."
"Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
Сложные задачи будет легче сделать, если разбить их на много маленьких лёгких шагов.
","Это касается не только таких очевидных областей деятельности, как, например, программирование или, там, строительство. Этот подход пригодится в любом месте, от признания в любви до похода к стоматологу."
"Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
Ни при каких обстоятельства не задавайте вопрос, если вы не готовы услышать ответ.
",Последствия могут быть крайне непредсказуемыми.
"Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
Не начинайте курить.
",Между курящей девушкой и некурящей в 20 лет нет разницы. В 35 разница очевидна. То же касается парней. Если не курите — не начинайте.
Не притворяйтесь и не носите маски. Будьте честны с самим собой и с окружающими. ,"Это всегда ценится высоко, даже, когда люди не признают этого публично."
"Улучшайте свои плюсы, а не пытайтесь избавиться от всех минусов.","От всех недостатков вам избавиться вряд ли удастся, а вот развить одно или пару своих достоинств до максимума вполне возможно."
"Чтобы мышцы стали более рельефными, нужно не есть сладкое и мучное.","Если не можете отказаться совсем, то ешьте вкусности только в первой половине дня."
"Не держите негативные мысли, которые вы не можете контролировать.",Вместо этого вкладывайте свою энергию в положительное русло.
"Если посадили на одежду жирное пятно, посолите его.","Просто насыпьте соль на пятно, и оставьте, вскоро следа не останется."
"Если хотите меньше есть, разрезайте еду на маленькие кусочки, и ешьте из маленьких тарелок.","Первый кусочек очень хочется попробовать, и не сильно лень. Двадцать пятый кусочек кушаешь уже в более сытом состоянии, чем первый."
"Научитесь покупать ровно столько еды, сколько вы можете съесть.","Не нужно брать в офисной столовой лишнюю сосиску в тесте только потому, что она стоит дёшево."
Не объедайся перед сексом! ,Секс на набитый желудок не всегда приности радость.
Не обсуждайте серьезные вопросы с голодным мужчиной.,"Сначала накормите, а потом переходите к делу."
"Никогда не делай выводов о человеке, пока не увидишь его поступков",Только действия а не слова говорят о человеке.
"Унижая других, выше не станешь.",Научитесь уважать других и люди станут относится к вам также.
"Студент и школьник, удели особое внимание изучению иностранных языков. ","Зарплата специалиста, знающего иностранный язык, может отличаться на несколько порядков в лучшую сторону."
"Не сидите/стойте за спиной пусть даже близкого человека, который сидит за компьютером дома.",Сохраняйте конфиденциальность и не нарушайте лишний раз личное пространство.
"Читайте книги, которые заставляют задуматься.",Много читающий человек рано или поздно становится грамотным. 
Не следует в пятницу искать повод выпить. Пятница – это уже повод.,Пятница – это уже повод. Главное не переусердствуйте.
"Старайтесь не пялиться в монитор человека, к столу которого Вы подходите.",Это раздражает и может спровоцировать неловкую ситуацию.
Не устраивайте жену (девушку) к себе на работу.,"Во-первых — будете отвлекаться. Во-вторых — будете на виду. В-третьих — больше шансов, что ее уведут ваши же коллеги."
Любовные романы в офисе — зло.,Вас обязательно будут обсуждать за кулисами и часто не в хорошем тоне. Если вдруг ваш роман закончится - будет сложно работать вместе дальше.
Не желайте приятного аппетита жующему человеку.,"Этим самым Вы ставите его в неловкую ситуацию, заставляя отвечать ""Спасибо!"" с набитым ртом."
"Человек с набитым ртом может легко ответить на вопросы, требующие ответа ""да"" или ""нет"" мотанием головы. ","Учтите это, задавая вопрос. "
"Не сходите с ума, попав на ""шведский стол"". ","Лучше сходите за добавкой, нежели набирайте гору еды и оставляя кучу объедков за собой."
Хотя бы 5 минут в день разминайтесь. ,Зарядка позволит держать ваше тело и мысли в тонусе.
Лучший отдых — смена деятельности.,"Чередуйте деятельность тела и мозга, чтобы не уставать на работе и отдыхе."
"Постарайтесь максимально отсрочить знакомство ребёнка с компьютером. Потом будет за уши не оттащить, а ребёнок должен много двигаться! ",Раньше 5-6 лет ребенку незачем использовать компьютер.
Держи пару гантелей рядом с компьютером.,В промежутках между компьютерными делами можно будет сделать пару полезных физических упражнений.
Выключите телевизор - больше читайте.,Телевизор еще никого не делал умнее.
"Избавьтесь от всего, что не является для вас полезным, красивым и радостным.","Это относится не только к предметам, но и к окружению людей. Оно формирует ваши привычки."
"Жизнь слишком коротка, чтобы тратить время на ненависть.","Будьте целеустремленны, не тратьте время на зависть и ненависть к другим. Используйте время на благо себе, но не во вред другим."
"Копите деньги. Ежедневно уделяйте 30 секунд тому, чтобы положить немного денег в вашу домашнюю семейную копилку.","Так у вас постоянно будут хоть и небольшие, но накопления."
"Не позволяйте другим вмешиваться в вашу жизнь
Не позволяйте другим вмешиваться в вашу жизнь
Не позволяйте другим вмешиваться в вашу жизнь
Не позволяйте другим вмешиваться в вашу жизнь
Не позволяйте другим вмешиваться в вашу жизнь
Не позволяйте другим вмешиваться в вашу жизнь
","Не все люди думают так, как вы, ваши друзья или родственники могут дать вам совет, который посеет в вас сомнение. Слушайте свое сердце, а не других."
Не принимай важных решений и не совершай больших действий под властью эмоций.,Будьте разумнее и хладнокровнее.
"Будьте готовы к трудностям.
Будьте готовы к трудностям.
Будьте готовы к трудностям.
Будьте готовы к трудностям.
Будьте готовы к трудностям.
Будьте готовы к трудностям.
","Оптимистический взгляд на жизнь не гарантирует, что в вашей жизни будет все легко и просто, но гарантирует, что вы легче преодолеете все трудности."
"Мотивация это все.
Мотивация это все.
Мотивация это все.
Мотивация это все.
Мотивация это все.
Мотивация это все.
",Позитивное мышление бесполезно без истинной мотивации. Вы должны жить ради чего-то и иметь мотивацию для достижения этой цели.
"Привычка быть оптимистом - бесценна.
Привычка быть оптимистом - бесценна.
Привычка быть оптимистом - бесценна.
Привычка быть оптимистом - бесценна.
Привычка быть оптимистом - бесценна.
Привычка быть оптимистом - бесценна.
","Сделайте вашей привычкой воспринимать жизнь сквозь призму оптимизма. А привычка, как известно, становится второй натурой."
Никогда не смейтесь над чужими снами и мечтами.,"Мечта и цель в жизни любого человека - это самое ценное, что у него есть."
"Когда вы проигрываете, постарайтесь извлечь из этого урок, а то и пользу.",Любой проигрыш - это бесценный опыт.
"Уважайте себя, уважайте других, отвечайте за все свои поступки.",Тогда люди будут уважать вас в ответ.
"Когда понимаете, что сделали ошибку, постарайтесь не замять ее, а быстро исправить.","Тот, кто работает над своими ошибками, обязательно рано или поздно становится профессионалом."
В спорах с любимыми обращайтесь к текущей ситуации. ,Не припоминайте прошлое.
Делитесь своими знаниями с детьми. ,На сегодня это единственный известный способ достичь бессмертия.
Проверить запах изо рта очень просто.,"Лизните запястье, подождите несколько секунд и понюхайте."
Контактные линзы сохнут? ,Закройте глаза и смочите водой веки.
Положите кусочек стручкового жгучего перца на больной зуб и боль утихнет.,Только не ешьте затем этот перец.
"Надавите посильнее на кожу в том месте, где она зудит и чешется. ",Приток крови снизится и раздражение уменьшится.
