"Старайтесь не пялиться в монитор человека, к столу которого Вы подходите.",Это сильно раздражает людей.
Держите чашку с чаем или в принципе с жидкостью на расстоянии от ноутбука(особенно от макбука).,Одно резкое движение и чашка чая обойдется вам в $1000.
"Приобретите кистевой эспандер, если вы много времени проводите с клавиатурой и мышкой. ","Он разомнёт ваши пальцы, сделает массаж кистевых суставов, укрепит мышцы предплечья"
Запомните сочетания клавиш. Это заметно повысит темп работы.,"Гораздо проще и быстрее нажать 2 кнопки, чем использовать многочисленные пункты меню."
Не используйте личные пароли нигде на работе.,Разделяйте работу и личную жизнь.
При работе за компьютером делайте перерыв каждые полчаса.,"Так у вас не будет болеть голова к концу рабочего дня, а глаза не будут уставать."
Покупаете ноутбук для разъездной работы? Не гонитесь за диагональю. ,"Вес ноутбука и его диагональ чрезывычайно важны, если вы используете его именно как портативный компьютер."
Принеси на работу сменную обувь.,Сидение целый день в уличной обуви плохо влияет на кровоснабжение ступней.
"Меняйте работу, если она вам не нравится. ","Мы живем всего один раз. Терпеть то, что можно поменять, просто глупо."
Для удачной карьеры важно не отказываться от самых неподъемных дел. ,Все когда-то делается в первый раз. Потом будет легче.
"Если на работе вы сидите в интернете, сворачивая, переключайтесь на нейтральную вкладку.","Чтобы на панели задач не было видно названия страницы в стиле ""Анекдоты"". Начальство может подойти в любой момент."
Купи вторую зарядку для мобильника и отнеси её на работу.,Так вам не надо будет постоянно таскать с собой лишние провода.
Одна капля эфирного масла эвкалипта куда-нибудь на пол на рабочем месте принесёт хорошую концентрацию и работоспособность.,Не переборщите с количеством масла.
"Составьте свое полное резюме и держите его всегда актуальным, закрытым и в интернете.",Птица удачи часто пролетает очень быстро.
"«Он меня убьёт, если я допущу ошибку». От таких мыслей о своём начальнике надо избавляться. ","Начальник — не зверь. Не допускает ошибок тот, кто ничего не делает."
"Если вы ищете работу без опыта через сайты кадровых агентств — знайте, что большое количество предложений будут сетевым маркетингом.",Старайтесь искать работу через тематические сообщества и специализированные сайты.
"Пусть результат будет не самым приближенным к идеалу, зато вовремя.","Лучше хороший план сегодня, чем идеальный план завтра."
Перед поиском работы приведите в порядок свои страницы в социальных сетях!,Работодатели часто ищут в Facebook и других сетях страницы соискателей.
"Не занимайся тем, что приносит деньги, занимайся тем, что нравится.","Не стоит хвататься за каждую возможность заработать копейку. Если тебе не нравится работа, не берись за неё."
