"Preparing something steaming (like a cutlets), salt the water.",The boiling temperature will rise and cook food will be faster by one and half.
"Baking pans does not need to be washed after cooking, just wipe it with parchment paper or brush with  salt .",Then the burned leftovers would be easier to peel up. Grease pans with fat to avoid rust.
Everytime rinse meat grinder with boiling water before using.,In this way you will be free from the  risk that any parasites that may remain after the final cooking still alive.
"If  pass through meat grinder or  grater a raw potato or a piece of dry bread,before wash them after meat  or cheese.","Potatoes and bread - kind of collectors,  they can  quickly collect the remains of meat or cheese."
Grater will be sharp again if you will rub it with sandpaper.,Try to use a fine sandpaper to achieve the best effect.
"Always follow the rule to open the lids of pots, from the opposite side from yourself, while cooking.",So you will be free from the risk to get scald.
Green salad can be refreshed by  holding a few minutes in a warm  water.,Just do not overdo it with too warm water.
"Put fish into the  milk, then roll in flour before frying and will fry with vegetable oil - you will get a very tasty dish.",The fish will be more tender and soft.
"When cooking flour confectionery with raisin, powder raisins with flour, before you put it into the dough.",Raisins will not sink to the bottom after that.
All glassware including drinking glasses and  vases can be washed without special means.,Add a bit vinegar into warm water to do this.
Darkened enameled pans should be boiled with any dish detergent.,Do not forget to wash them with plain hot water afterwards.
"If something burnt in the pan, you can pour to the bottom cold water and put there salt.",Reheat it after a few hours and then easily remove leftovers.
Frying pans can be cleaned easily with follows steps: heat them slightly and rub with salt and then with parchment.,"If there is no parchment, you can use ordinary paper."
"Rub shaper for ice with candle, to prevent  freezing it to the refrigerator's freezer.",Grease the bottom using  wax.
"Cereals and starch are best kept in the can, glass or delft  with  ground cover. ",In such cans cover is easy to open and cereals stored longer.
"Put knives, scissors, etc.  in a weak salt water for half an hour to sharpen them easier.",You can  sharp them without wiping after that.
Don’t dry the meat grinder near a heat source.,Blades become dull from excessive heat 
"Don't cook porridge in an enamelled ware, because porridges will burn in it .",Better cook porridge in steel pots.
"Greasy spots on the stove should be sprinkled with salt, and then rub out.",This way you will spend much less effort on cleaning.
Kitchen smells unpleasant . Pour a bit vinegar into the frying pan and keep it on fire until it evaporates.,Vinegar could effectively neutralize any smells.
Wipe hands with sliced ​​parsley greens to get rid of onions smell. To get rid of garlic smell wipe it with sliced ​​celery greens.,"Therefore, keep in mind  correct sequence for slicing onions, garlic and herbs."
"Wiping cup by vinegar, you can remove plaque from tea and coffee.",You can use a strong solution of salt instead of vinegar
"Add a few drops of ammonia into the water, to remove unpleasant smells from hands.",Don't overdo with the amount of ammonia.
"Boil peel from apples, pears and lemons in pans, that  darkened inside and kettles,  to back lost color.",This is more effective than using vinegar.
"Wooden dishes easily absorb unpleasant odors. The dishes should be wiped with warm vodka, to remove the smell.",Pure alcohol removes any smells very well.
"The glass vases will shine like crystal, if  wash them in warm salt water, and then rinsed with cold water.","To increase effect, add lemon peel into warm water."
"German silver spoons, silverware and porcelain should be washed with cold water with a small amount of ammonia.","Flatwares will shine like new, if do this regularly."
"Don’t wash crystal dishes in hot water,because it becomes cloudy and covered with a grid of small wrinkles.","Use only cold water. After washing, сrystal can be wiped with woolen cloth."
"Dishes from dairy products, dough and eggs should be washed only with cold water.",Protein folds and tightly sticks to the dishes if use hot water.
"Begin  wash dishes from less dirty, for example, from  tea spoons and saucers. Finish with most  greasy dishes.",This way you  will save a lot of minutes on washing dishes.
"Always begin wash in cold water cutting boards,that absorbed the smell of onions, meat and fish.",That's better than hot removes odors.
"Cake needs to be wrapped in wet and cold towel and hold over the steam, if difficult to separate him from the tray.",A few minutes will be enough to separate cake from the surface.
Wash fresh fish in a strong cold salt solution to avoid the river mud smell.,"Use cold water,  because it better removes odors."
