"Cover the lamp, that stuck into the socket,  by plastic bag, before take it out.",This way  the fragments will stay in the bag and no one will be hurted.
The mirror in the bathroom will not sweat if you will cover it with a solution of 1 teaspoon of gelatin in 50 milliliters of water,You can also use a bit liquid soap added on the towel.
"Water drops from faucets, leave unpleasant yellow spots on sinks and baths.","They can be wiped with a bit salted heated vinegar, or with composition of salt and turpentine."
Twin glass for windows with air space will reduce heat loss and street noise and doesn't get freeze in cold weather.,Never skimp on the windows.
,The board will be hold on more reliable.
"To nail a board, drive in nails at an angle , not vertically, each nail in different direction.",So you don't get hurt or tear clothing.
"For those who have to carry a screwdriver in their pocket, we recommend put a piece of rubber tubing on the blade.",In this case the Box don't must be too deep.
Attach a small magnet to the bottom of plastic box with nails to avoid losing it content.,"After dissolving, add there half a glass of vinegar and then wash by water."
"Put into the neck  of drain a handful of soda ash, if the water flows down slowly in the sink.",Also wipe the key with wax or soap.
"If lock is too tight and does not work well, pour into the keyhole a little bit graphite powder from pencil.",You never know where you need charge your phone or laptop.
Make socket under the each switch.,"Mix tooth powder with water to the consistency of sour cream, put on the dirty place and leave for a one day and then clean off powder with brush."
Remove stains from wallpaper possible with  tooth powder.,Use only clean socks.
"Put hand into a sock, if you don't have a rag.",This water contains  a lot of useful microelements for plants.
You  can irrigate room flowers by chilled water after boiling potatoes or pasta.,"There is another way:  leave on the shelves pieces of black bread, and do not open  refrigerator for several hours."
Put into refrigerator half of peeled onion on the plate for 2-3 hours to get rid from the unpleasant odor.,No ice after just half an hour.
"You can defrost the refrigerator very quickly with standard rubber hot-water bottle filled with hot water, putting it in the freezer.",Glass dirty from flies wipe with meths.
"Stains on the glass from dried white paint  remove with safety razor blade, from fresh paint - with  turpentine.",Furniture should be cleaned with gentle circular movements.
Upholstery material on soft furniture can be cleaned with a clean woolen cloth soaked in a warm solution of any synthetic detergent for woollens.,Optical glasses rubbed with a cotton swab dipped in pure alcohol.
Glasses should be cleaned by soft cloth.,"To avoid this, stick to the glass  strips of paper with adhesive tape or starch glue."
"You can stain the glass, while painting the window frames. ",Solution temperature  not exceeding 20 ° C.
Soak for a couple of hours white woolen stuff before washing in a solution containing 2 tablespoons of washing powder per 10 liters of water to better bleach it.,Better use for this warm soapy water .
"Stains on the clothes from artificial skin cannot be removed with alcohol, benzine and acetone.","Add half a cup of lemon juice of into the water while washing, to return bright fresh look for pale clothes."
Lemon juice able to replace the bleach.,You can also add a bit salt.
Wash jar with the  warm water and one teaspoon of mustard to rid of the smell.,"Pour  tablespoon of groats inside, add warm soapy water and shake."
Use rice to clean hard to reach areas in vases and bottles.,Especially contaminated places could be cleaned with warm white bread or wheat bran.
"Dust from wallpaper could be removed by vacuum cleaner with a soft accessory or with cloth, wrapped around the brush.",Just lead with wet glove over the surface and all the wool will be on it.
Use  rubber gloves to remove pet hairs from soft  furniture.,Use the walnut kernels to remove scratches on the furniture.
Refresh the wooden furniture possible using shoe cream with suitable shade.,Use also a tooth powder dissolved in a small amount of  water.
Polish  linoleum  with toothpaste to return it the former gloss.,Dark colors visually reduce the space.
"Make walls in the entrance hall one-color and lighter than in the rooms, and the apartment will looks more commodious.","Doesn't take not too much space,not expensive, solves the problem with a lot of unexpected guests and with dishes washing."
Lemons could help remove stains from wood and plastic cutting boards.,For example you can wash baby bottles or stemware.
"To wash the small things in dishwasher, use laundry bag.",Dont forget to remove the resulting flour and rub grinder with dry towel.
Grind a handful of rice in coffee grinder to clean it.,This is will scare them. Soaked in essence of lavender  the cotton balls will scare flies.
"To avoid infested house by insects, prepare a solution of water and tea tree oil and sprinkle by it doors and windows usually used by insects to enter.","Put the lower glass in a hot water, and the upper fill in with cold. They will be separated very easy."
"Two cups stuck in each other, could be separated easily without risk of damage.",Don't clean window glass with hot water: it would leave stains and smudges.
Dont clean the windows glass with hot water: it  could left stains and smudges.,This way the things will be in-use longer than usual.
Turn out dark things inside out before washing to avoid the fluff sticking.,In the toilet strike a match would be enough.
Bad smell in the kitchen can be removed if  burn there dry lemon or orange peels.,Wipe tile with a cloth moistened in a weak solution of ammonia to give back it lost gloss.
Wipe tile with a cloth moistened in a weak solution of ammonia to back losted gloss.,You can clean copper items with solution from salt and vinegar.
"Wipe  blackened copper items with grated raw potatoes, to give it back original look.",Your fingers will be more safety.
"Keep the nail by clothespin, while working a hammer.",The candle will crackle while burning if you dried it not good enough.
"Soak candle for an hour in salted water and then dry it before using, so candle will burn longer and spread less.",You can also use plastic bags or plastic lids from cans.
"Put tables and chairs legs into socks during the replacement, to avoid scratches on the floor.",Better use a fine salt..
"Press salted piece of paper, to remove  stains from encrustations from iron.",Knife blades become dull quickly and require frequent sharpening if  have contacts with forks.
Keep knives separately from other metal items.,"Wipe metal with a cloth soaked in oil, then rub  to shine by dry paper towel."
Stainless steel easy to clean with olive oil.,Rub their surface and let them dry. After one and  half or two hours rinse with water and let dry again.
To clean jewelry easier use the pieces of velvet or corduroy. The time-blackened gold and overgild products can be refreshed by onion juice. ,"Sprinkle stain with hairspray, leave for 10 minutes and then wipe with a damp cloth or sponge if item is machine washable. Then wash as usual."
Remove lipstick stains from clothes by hairspray.,Crumple the foil into a ball and use it instead  the usual  sponge for dishes.
Aluminum foil is perfect to remove dried stains from glassware.,"You can also rub the door hinges with candle, if they squeak."
Rub zipper on your bag or purse by a piece candle if it fasten bad.,Wrap a piece of chalk  which moisture absorbent by gauze and put in a box where you store silverware.
Chalk helping keep tableware from tarnishing.,Just  rub the stain a bit with nail file.
Little stains on suede you can remove by a nail file.,"Put a piece of ice on the crumpled place, before do that."
"Crumpled by furnishings areas on the carpet can be returned to its former state, if ""coif"" them with a fork.","Place an open box in a closet where sheets and towels holds, to get  rid of the  mustiness smell."
"Soda can be used, as a freshener for the linen.","Fill into the sink tap hole half a cup of soda, then pour half a cup of vinegar. On the top of  hole put  the damp cloth and wait 5 minutes. Then let the hot water go."
Soda could help to remove  pipes obstruction .,Put a piece of plywood or cardboard under one of the furniture legs.
"When the doors of closets, wardrobes or other furniture difficult to close, that usually means that the furniture is improperly installed.",The graphite turn into powder and will serve  long time as a grease.
"Маленький кусочек графита, помещенной в зазоре повышенных петли, помогает избежать скрипа скрипящей двери.",Napkins handle with it in same way.
"Try baby napkins to wipe electronic devices, before buying special facilities.","Wrap the cable with ribbon from polyethylene film, melt it with fire from match and insulate the connection using heated mass."
Polyethylene could help out to repair electrical wiring if you have not electrical tape.,"Therefore, better firstly iron the items, that require most lowest temperature, for example, products made ​​from synthetic fabrics."
The iron get hot  faster than get cold.,Rub with sponge by circular motion until the stain disappears.
