"Don't stare at the somebody's monitor, when you fit to the table.",It's frustrating people very much.
Keep the cup with tea or with any fluid away from the laptop (especially from the MacBook).,"One sharp movement and a cup of tea will cost you $ 1,000."
"Purchase a carpal expander, if you spend much time with a keyboard and mouse.","It will stretch your  fingers,  will massage wrist joint, and strengthen muscles of the forearm."
Remember the key sets on the keyboards. This significantly increase the pace of work.,"Much easier and faster press 2 buttons, and you can use multiple menu entries."
Don't use personal passwords on the job.,Separate  business and personal life.
Make a break every half hour while working at a computer.,"This way you will not have a headache at the end of the day, and the eyes will not get tired."
Buying laptop for the itinerant work? Don't chase  for the diagonal.,"Weight of the laptop and its diagonal are very important, if you use it just like a portable computer."
Bring a second pair of shoes to work.,Sitting all day in street shoes is bad for  blood supplying your feet.
"Change your job, if you don't like it.","We live just once. Suffer from things, that you can change, just silly."
Don't abandon from the most complex tasks to have a successful career. ,Everything once have been done the first time. Later it will be easier.
"When sitting in Internet at work , switch to the  neutral tab while turning other one.","When you sit in the Internet at work , when turning tab, switch to the  neutral one."
Buy a second battery charge for a mobile phone and bring it to the work.,This way you will not have to carry an extra wires with you constantly.
One drop of eucalyptus essential oil on the floor somewhere in the workplace will bring good concentration and performance.,Don't overdo with amount of oil.
Make your complete resume and keep it always relevant and closed in the internet.,Fortune often comes very fast.
"""He'll kill me if I will make a mistake."" You should get rid  from such thoughts about your boss.","Boss - not a beast. Who doesn't make mistakes,  does nothing."
"While looking for a job without experience, through the recruitment agencies sites - be sure , that most  of proposals will be the network marketing.",Try to look for a job through thematic communities and specialized websites.
"Maybe the  result will be not the most approximate to the ideal, but at least in time.",Good plan today is better than a perfect plan tomorrow.
"Put in order your social networks pages, before looking for the job.",The employers often check  for the applicants at Facebook and other networks pages.
"Don't do what makes money,  do what you like. ","Don't need to take every opportunity to earn a penny. If you don't like the job, don't take it."
